ALGUM COISA TENTAR	Vamos tentar alguma coisa!
COMER NÓS IRAR QUANDO EU FOME (NÃO)	Quando iremos comer? Eu estou com fome!
EU ALGUM VIAGRA DIA WIKIPÉDIA BUSCAR IMAGINAR (NÃO)	Eu jamais imaginaria que algum dia buscaria por "Viagra" na Wikipédia.
INSANO ESSE IDEIA MENTE LHE VIR COMO (NÃO)	Como foi que essa ideia insana lhe veio à mente?
DESTA VEZ NOVO DIGITAL CÂMERA COMPRAR EU IR	Irei comprar uma nova câmera, desta vez uma digital.
EU DESCULPAR EU O RETIRAR DIZER	Desculpe-me. Retiro o que eu disse.
MEU MULHER ESPOSO DORMIR TENTAR	Minha esposa está tentando dormir.
EU HAVER TÓQUIO 3 ANO VIR AQUI DESENTÃO	Eu vim a Tóquio há três anos e desde então vivo aqui.
SEMANA TÓQUIO IR TRABALHAR VIR	Na semana que vem irei trabalhar em Tóquio.
BICICLETAS FERRAMENTAS URBANO SUSTENTABILIDADE	Bicicletas são ferramentas para sustentabilidade urbana.
ONDE EU ISSO VIR NÃO_SABER {NÃO}(headshake)	Eu não sabia de onde isso veio.
ESTE TIPO ARTE COMPRA QUEM (NÃO)	Quem compra este tipo de arte?
EU TAL INTENÇÃO TU IMPRESSÃO PASSADO NÃO_TER {NÃO}(headshake)	Eu não tive a intenção de te passar tal impressão.
SÓ EU ESPERAR PODER	Eu só posso esperar.
ISSO EU LOUCO DEIXAR	Isso está me deixando louco.
ATÉ MICROFONE ALGUM MOTIVO AGORA FUNCIONAR (NÃO)	Por algum motivo o microfone não funcionou até agora.
MESMO AGORA ANOS MUITOS GUERRA FRIA AINDA RANCOR RUSSOS HAVER SOBRETUDO OUTRORA ALEMÃES ÁREAS UNIÃO SOVIÉTICA OCUPAR	Mesmo agora, muitos anos após a Guerra Fria, há ainda muito rancor entre russos e alemães, sobretudo em áreas outrora ocupadas pela União Soviética.
AGORA FÉRIAS ACABAR	As férias acabaram agora.
QUANDO EU EU INEVITÁVEL IR DIA FRANÇA SABER AINDA_{NÃO}(headshake)	É inevitável que eu vá para a França um dia, eu só não sei quando.
ELE MEU TIPO FAZER (NÃO)	Ele não faz meu tipo.
TALVEZ VOCÊ EU TER EGOÍSTA RAZÃO IR	Talvez você tenha razão, eu foi egoísta.
LOGO VOLTE	Volte logo.
AQUI FOTOS ELES TIRAR (NÃO)	Por favor, não tirem fotos aqui.
MELHOR DO QUE AQUILO AQUILO ODIAR AMAR (NÃO)	Melhor ser odiado por aquilo que somos do que ser amado por aquilo que não somos.
TODOS OS DIAS ESTE HOMEM EU TREM VER	Este é o homem que eu vejo no trem todos os dias.
DAVID INCLINAÇÃO ESTÉTICA PINTURA CARACTERÍSTICAS ESCULTURA COMPOSIÇÃO MUSICAL TER APAIXONAR FAZER OU POEMA AGRADÁVEL OLHO OUVIR OU ELE MENTIR	David tem uma inclinação apaixonada por Estética - as características que fazem uma pintura, uma escultura, uma composição musical ou um poema ser agradável aos olhos, ouvidos ou mente.
GERAL EU BANHO NOITE TOMAR	Eu geralmente tomo banho à noite.
ISSO ELE ESQUECER PENA ELE VALER (NÃO)	Esqueça disso. Não vale a pena.
TÃO DISCREPÂNCIA AMBOS GRANDE AUTORIDADES QUAL HISTÓRIA PARTES DIFICULDADE ACIDENTE DIZER LADO DIZER VERDADE ENVOLVER IR DECIDIR	A discrepância entre as histórias de ambas partes envolvidas no acidente foi tão grande, que as autoridades tiveram dificuldade em decidir qual lado dizia a verdade.
CASACOS ESTE MODA INVERNO	Casacos pretos são moda neste inverno.
PRECISO IR CAMA	Eu preciso ir para a cama.
EU RESTO VIDA MEU ISSO PASSADO PASSADO LAMENTAR (NÃO)	Eu não quero passar o resto da minha vida lamentando por isso.
VIDA SORRISO ELE ENCARAR	Encare a vida com um sorriso!
COMO MULHER REI ELE MOVER RITMO ELE TRAZER CONSIGO SANGUE MOSTRAR	Ela se move como uma rainha e mostra que traz consigo o ritmo no sangue.
AQUELE CARA QUEM (NÃO)	Quem são aqueles caras?
O QUÊ (NÃO)	O quê?
TEMPO FICAR QUANTO (NÃO)	Por quanto tempo ficaste?
ESTE DOENTE FINAL SEMANA ELE FICAR	Ela ficou doente neste final de semana.
TÃO CANÇÃO ESTE COMOVENTE EU TRAZER LÁGRIMAS OLHO	Esta canção é tão comovente que me traz lágrimas aos olhos.
PRECISO TOMAR REMÉDIOS	Eu preciso tomar remédios.
INGLÊS ELE REPETIR (NÃO)	"Não", repetiu o inglês.
TAL PAI FILHO	Tal pai, tal filho.
MAÇÃ ESTE VERMELHO TUDO BEM	Esta maçã está bem vermelha.
ASSIM EU 2 COELHO CAJADADA SÓ MATAR	Assim eu mato dois coelhos com uma cajadada só.
FELIZ NATAL	Feliz Natal!
MEU ELAS EU PERDER IDEIAS ALGUMAS UM POUCO EXTREMAS MEU (NÃO)	Eu não quero perder minhas ideias, mesmo que algumas delas sejam um pouco extremas.
EU SAIA AZUL LISTRAS PROVAR GOSTAR	Eu gostaria de provar a saia azul com listras.
{XÍCARA CAFÉ TU QUERER}(q)	Queres uma xícara de café?
PEQUENO JARDIM FRENTE CASA MEU HAVER	Há um pequeno jardim na frente de minha casa.
EU MULHER DOM CASA	Eu sou dona de casa.
QUANDO QUEM ENGENHEIRO MULHER QUESTÃO QUANTOS 7 PERGUNTAR DEVER	As sete questões que um engenheiro deve se perguntar: quem, o quê, quando, onde, por quê, como e quantos.
DELE ELE FALIR NÃO ENQUANTO ELE DIRIGIR (NÃO)	Não fale com ele enquanto ele dirige.
O VOCÊ QUERER EU CÃO QUERER	"O que você quer?" "Eu quero um cão."
ENERGIA PACÍFICOS FINS UTILIZAR DEVER	Energia nuclear deve ser utilizada para fins pacíficos.
TELEFONE TOCAR JÁ EU INDO	"O telefone está tocando." "Eu já estou indo".
HOJE QUENTE	Hoje está muito quente.
GOSTO DISCUTIR (NÃO)	Gosto não se discute.
EU MARCA PASSO USAR	Eu uso um marca-passo.
IRMÃO MEU IMPORTANTE AO MENOS ELE ASSIM PENSAR	Meu irmão é muito importante. Ao menos ele pensa assim.
{O ROMANCE NOVO SEU ACHAR}(q)	O que achaste de seu novo romance?
ALI OH BORBOLETA	Oh, ali está uma borboleta!
SENTIMENTO TUDO NADA TÉDIO PERDA TEMPO	O tédio é o sentimento de que tudo é uma grande perda de tempo; serenidade, de que nada é.
ELE CUSTAR QUANTO (NÃO)	Quanto custa?
CONTA FAVOR	A conta, por favor.
OBRIGADO TUDO ISSO	Obrigado, isso é tudo.
EU ENTENDER (NÃO)	Eu não entendo.
EU CARTEIRA MEU PERDER	Eu perdi minha carteira.
JAPONÊS EU FALAR (NÃO)	Eu não falo japonês.
NÓS CAUSA BARULHO DORMIR CONSEGUIR (NÃO)	Nós não conseguimos dormir por causa do barulho.
MATERIAL ESPIRITUAL LADO NOSSO VIDA MAS LADO DEFINIR (NÃO)	O lado material não define nossa vida, mas o lado espiritual.
{QUÃO LONGE AQUI AEROPORTO}(q)	Quão longe daqui é o aeroporto?
ELE DEMORAR ÔNIBUS TEMPO AEROPORTO AEROPORTO DEMORAR CHEGAR QUANTO (NÃO)	Quanto tempo demora para o ônibus do aeroporto chegar até o aeroporto?
QUANDO FRANZIR VOCÊ SOBRANCELHAS ISSO EU TER VONTADE SEXO VOCÊ SIGNIFICAR PODER FAZER MAS TAMBÉM EU ISSO VOCÊ PERFEITO IDIOTA ACHAR ACABAR DIZER	Quando você franze as sobrancelhas, isso pode significar "eu tenho vontade de fazer sexo com você", mas também "eu acho, que isso que você acabou de dizer é perfeitamente idiota".
EU RESERVA HOTEL GOSTAR	Eu gostaria de uma reserva no hotel.
SEGURANÇA HOTEL ELE TRAGAR	Por favor, me traga o segurança do hotel.
FINAL PESSOA EU TOMAR IDIOTA EU EXPLICAR	Obrigado por me explicar finalmente por que as pessoas me tomam por um idiota.
GARFO FALTAR	Um garfo está faltando.
CIÊNCIA VIDA (NÃO)	A vida não é uma ciência exata, ela é uma arte.
HILTON HOTEL FAVOR	Ao hotel Hilton, por favor.
{EU VOCÊ PASSAPORTE FAVOR SEU MOSTRAR PODER}(q)	Você pode me mostrar seu passaporte, por favor?
DIA BOM ELE IR COMO (NÃO)	Bom dia, como vai?
EU LICENÇA PERDER	Com licença, eu estou perdido.
TIPO SANGUÍNEO SEU QUAL (NÃO)	Qual é seu tipo sanguíneo?
EU NÍVEL EU DELE REBAIXAR IR (NÃO)	Eu não irei me rebaixar ao nível dele.
EU SEU EU NÍVEL REBAIXAR IR (NÃO)	Eu não irei me rebaixar a seu nível.
{EU O VOCÊ MOSTRAR COMPRAR}(q)	Me mostre o que você comprou?
EU SAIR GOSTAR NÃO QUANDO CHOVER (NÃO)	Eu não gosto de sair quando está chovendo.
MEU BAGAGEM EXTRAVIAR	Minha bagagem extraviou.
EU DIZER PRAGMÁTICO EU	Disseram-me que eu sou pragmático, e eu sou.
TÍQUETE SEU	Por favor, mostre seu tíquete.
EU COPO CAFÉ GOSTAR	Eu gostaria de um copo de café.
D'ÁGUA EU COPO DAR	Por favor, me dê um copo d'água.
QUEM CALA	Quem cala, consente.
NÓS OFERTA PRAZER SEU ACEITAR	Nós aceitamos sua oferta com prazer.
{VOCÊ 500 EU IENE EMPRESTAR PODER}(q)	Você pode me emprestar quinhentos ienes?
{O ACONTECER}(q)	O que aconteceu?
EU TODO DINHEIRO GASTAR	Eu gastei todo o dinheiro.
VOCÊ GOSTAR OU VOCÊ FAZER FAZER PRECISAR (NÃO)	Goste você ou não, você precisa fazê-lo.
{CONTIGO CANETA TER}(q)	Tens uma caneta contigo?
ELE IDADE TER TER PARECER (NÃO)	Ele não parece ter a idade que tem.
EU ACEITO MAS CONDIÇÃO APENAS	Eu aceito, mas apenas sob uma condição.
RARO EU O VER	Eu o vejo raramente.
VERDADE ELE VERDADE SABER PODER (NÃO)	A verdade é que ele não poderia saber da verdade.
TU PREOCUPAR (NÃO)	Não te preocupes.
ESTE TENTAR PROBLEMA NADA RESOLVER ELE DAR (NÃO)	Tentar resolver este problema não dá em nada.
EU ESSE BARULHO MAIS AGUENTAR PODER (NÃO)	Eu não posso mais aguentar esse barulho.
{ELE PRONUNCIAR PRONOUNCE COMO SE}(q)	Como se pronuncia "pronounce"?
ESSA RESPOSTA MEU	Essa é minha resposta!
MUNDO REDOR TI GIRAR (NÃO)	O mundo não gira ao redor de ti.
PAIS CRIANÇAS SEU AMAR	Pais amam suas crianças.
ALIMENTO OUTRO QUEIJO SÓLIDO LEITE OU CABRAS BOI OVELHAS OU MAMÍFEROS PRODUZIR	Queijo é um alimento sólido produzido a partir de leite de vaca, cabras, ovelhas ou outros mamíferos.
MULHER CANÇÃO COMPOR GOSTAR QUAIS QUÊ (NÃO)	Quais canções famosas vocês gostariam de ter composto e por quê?
OLHO ALEGRIA ELES BRILHAR	Os olhos dela brilhavam de alegria.
COMPUTADOR MEU EU ÚTIL ALGO	Meu computador tem que me ser útil para algo.
EU BALA QUERER	Eu quero uma bala.
PERGUNTAR ELE ESTE TRANG NOITE PERGUNTAR SAIR	Pergunte a Trang se ele sairá esta noite.
FILME EU AGRADAR	O filme me agradou.
LIVRE SENTIR	Sinto que estou livre.
EU ESTE EU FILME LEMBRAR VER	Eu me lembro de ter visto este filme.
ONTEM DESPERTADOR TOCAR NÃO KURT ACORDAR (NÃO)	Ontem o despertador não tocou e Kurt não acordou.
DRASTICAMENTE CUSTO VIDA AUMENTAR	O custo de vida aumentou drasticamente.
ESSA AMIGO RACHEL MEU NÓS JUNTOS COLÉGIO IR	Essa é minha amiga Rachel, nós fomos juntos ao colégio.
MESMO EU VERGONHA EU	Eu estou com vergonha de mim mesmo.
IMPOSSÍVEL INGLÊS APRENDER MÊS	É impossível aprender inglês em um mês.
TU VIVER ONDE (NÃO)	Onde vives?
EU SORTE BOM BABÁ TER ACHAR CONSEGUIR	Eu tive sorte de ter conseguido achar uma boa babá.
COMES BEBES TAL CASAMENTO ABUNDÂNCIA MULHER NOIVO SERVIR SE NOIVO MAIS GENTE QUESTIONAR CONVIDAR COMEÇAR DEVER (NÃO)	Comes e bebes foram servidos no casamento em tal abundância que a noiva e o noivo começaram a se questionar se não deveriam ter convidado mais gente.
AMANHÃ ELE LUA ATERRISSAR	Amanhã ele irá aterrissar na lua.
ESTE EU SEU EU PENSAMENTOS TEMA ALEGRAR OUVIR	Eu me alegro de ouvir seus pensamentos sobre este tema.
FREQUENTE EU ESTUDO ENQUANTO MÚSICA EU OUVIR	Eu frequentemente estudo enquanto ouço música.
QUEM ESSE MÃE	"Quem é essa?" "É a tua mãe".
TU CONSEGUIR FAZER	Tu consegues fazê-lo!
EU ISSO GOSTAR	Eu gosto muito disso.
ENQUANTO HAVER VIDA ESPERANÇA HAVER	Enquanto houver vida, haverá esperança.
MULHER MULHER VERDADE CURVAS TER	Mulheres de verdade têm curvas.
JIMMY PAIS SEU DEIXAR PAÍS AMIGO PERSUADIR CRUZAR TENTAR	Jimmy tentou persuadir seus pais a deixá-lo cruzar o país com amigos.
ELE CONFIAR ELE EU DIZER	"Confie em mim", disse ele.
TU QUERER RECADO DEIXAR NÃO	"Queres deixar recado?" "Não, obrigado".
ELE PENSAR TODO MESMO BARCO	Pense que estamos todos no mesmo barco!
SOLUÇÃO HAVER (NÃO)	Não há solução.
ELE VOLTA HORA	Ele estará de volta em uma hora.
ELE DIZER CANSAR QUE PORTANTO CEDO MAIS CASA EU IR	Ele disse que estava cansado e que portanto iria para casa mais cedo.
DÚVIDAS HAVER (NÃO)	Não há dúvidas.
EU MEU LHE PALAVRA DAR	Eu lhe dou minha palavra.
BEM ELE REAL FALAR	Ele fala realmente bem.
EU DESCULPAR MAS EU RELÓGIO	Desculpe-me, mas eu estou sem relógio.
{CÃO TEU ELE MORDER}(q)	Teu cão morde?
NÓS CHUVA GOSTAR (NÃO)	Nós não gostamos de chuva.
SIM SUCO MIKE LARANJA FAVOR DIZER	"Sim, suco de laranja, por favor", diz Mike.
NADA DINHEIRO	Ela nada em dinheiro.
BOMBA SÉRIO AMEAÇA HUMANIDADE	A bomba atômica é uma séria ameaça para a humanidade.
EU TRABALHO	Eu trabalho.
ROUPA SEU LONGO PERUCA SEU COLORIR LUVAS ELE ESPÉCIE DISNEYLÂNDIA SEU FUGIR DEDUZIR PODER	Com sua roupa colorida, sua longa peruca e suas luvas brancas, poder-se-ia deduzir que ele fugiu de uma espécie de Disneylândia.
TÃO COMIGO ENTEDIAR BRINCAR	Vamos, brinque comigo, estou tão entediado!
EU LIVRO REFEIÇÃO LER	Eu li um livro durante a refeição.
MULHER FRANCÊS DELE	A mulher dele é francesa.
{SUCO FRUTAS TU QUERER}(q)	Queres um suco de frutas?
SEMPRE QUANDO DEMAIS EU ESTE ALGO ACHAR ALGO EU CARO AGRADAR	Sempre quando eu acho algo que me agrade, este algo é caro demais.
ELE SEU A MULHER ESPOSO FAZER	Ele a fez sua esposa.
ISTO É ELE GRATUITO PAGAR TU PRECISAR (NÃO)	Não precisas pagar por isto, isto é gratuito.
QUEIJO LOJA TAIS MANTEIGA ALIMENTOS AÇÚCAR VENDER	A loja vende alimentos, tais como manteiga, queijo e açúcar.
DIFERENCIAIS NÃO-LINEARES DOIS MULHER EQUAÇÃO GERAL ORDEM SABER	Em geral se sabe pouco acerca de equações diferenciais não-lineares de segunda ordem.
ENTRADA BEBIDA INCLUIR	A entrada inclui uma bebida.
NOVO EU AUTOMÓVEL COMPRAR	Eu comprei um novo automóvel.
A MULHER CASAR AQUELE PESSOA PESSOA VIVER PODER VIVER PODER (NÃO)	Não se casa com aquele com quem se pode viver - casa-se com a pessoa sem a qual não se pode viver.
{DO QUE FALAR}(q)	Do que estás a falar?
EU CURIOSO	Eu estou curioso.
NÓS IR COMIGO TRANG FALIR	Vamos! Fale comigo, Trang.
TUDO ALGUÉM EU VIDA BONECO NEVE SABER PRECISAR APRENDER	Tudo que alguém precisa saber sobre a vida eu aprendi com um boneco de neve.
DESQUE EU MARIO EU MAIS ELE MENTIR FALAR (NÃO)	Desde que Mario mentiu para mim, eu não falo mais com ele.
PASTA ARQUIVO SALVAR QUAL (NÃO)	Em qual pasta salvaste o arquivo?
JAPÃO CHEIO BELAS CIDADES POR EXEMPLO KYOTO NARA	O Japão é cheio de belas cidades. Kyoto e Nara, por exemplo.
GENTIL PARTE VOSSO ELE RESPONDER WILLIE	"É muito gentil de vossa parte", respondeu Willie.
TU PRECISAR REPOUSAR	Estás doente, tu precisas repousar.
BOM VIAGEM ELE FAZER	Faça boa viagem.
SEMPRE EU HÁBITO CULPA OUTROS ACHAR SUPERAR CONSEGUIR	Eu consegui superar o hábito de sempre achar culpa nos outros.
VERDADE JOVEM MAS SÁBIO	É verdade que ela é jovem, mas ela é sábia.
TÃO EU CANSAR MAL PODER ANDAR	Eu estou tão cansado que mal posso andar.
PESSOAL ELES TELEFONE BASTANTE FALAR	Eles se falam bastante, por telefone e pessoalmente.
EU TU PENSAR KEN VER NUNCA NÃO	Eu nunca te vejo sem pensar no Ken.
UMA VEZ POR TODAS ELE COMEÇAR DIZER	Ele nos disse para começarmos de uma vez por todas.
ELE GUERRA FERIR	Ele foi ferido na guerra.
BOM ALGUM MAÇÃS CESTA HAVER	Há algumas boas maçãs na cesta.
{O VOCÊ COMER GOSTAR}(q)	O que você gostaria de comer?
MARIDO CAFÉ MANHÃ MEU TOMAR ENQUANTO JORNAL ELE LER	Meu marido toma café da manhã enquanto lê o jornal.
AINDA JUNKO PAIS SEU MULHER BANCÁ LA DEPENDER	Junko ainda depende de seus pais para bancá-la.
ONTEM EU TV NOITE	Eu assisti TV ontem à noite.
CASA ELE EUROPA 1941 VOLTAR QUANDO GUERRA ECLODIR	Ele voltou para casa da Europa em 1941, quando a guerra eclodiu.
CABELO TOALHA SEU ELE SECAR MOLHAR	Ela secou seu cabelo molhado com uma toalha.
ELES O CULPAR JULGAR	Eles o julgaram culpado.
ELE SEU UM POUCO COMO PAI	Ele é um pouco como seu pai.
JÁ QUE TV DESLIGAR TARDE	Desligue a TV, já que está tarde.
SE VOCÊ ERRO VIR FAVOR CORRIGIR	Se você vir um erro, corrija-o por favor.
EU ESTRANGEIROS PAÍSES VIAJAR GOSTAR ENQUANTO IENE FORTE	Eu gostaria de viajar para países estrangeiros enquanto o iene estiver forte.
LOJA ILHA APENAS HAVER	Há apenas uma loja na ilha.
AGORA VOCÊ MESA EXAMES LEVANTAR PODER	Você pode se levantar da mesa de exames agora.
ONDE DIGNO TÓPICO EU SABER DISCUTIR	Até onde eu sei, o tópico é digno de ser discutido.
TODO NÓS EXCEÇÃO FESTA JOE IR	Nós todos fomos à festa, com a exceção de Joe.
HOJE EU EU MELHOR SENTIR	Eu me sinto melhor hoje.
EU ANSIOSO RESULTADO	Eu estou ansioso pelo resultado.
ELE PAIS SEU IR NUNCA NÃO	Ele nunca vai contra seus pais.
EU 9 VIR GOSTAR	Eu gostaria de vir às nove.
CASA NOSSO ASSALTAR ENQUANTO FORA	Nossa casa foi assaltada enquanto estávamos fora.
{COMO SE ESSE CÂMERA ELE USAR}(q)	Como se usa essa câmera?
EU EU O DELE PERGUNTAR ACONTECER	Eu me pergunto o que aconteceu com ele.
VOCÊ DIFERENTE ALGO PENSAR PARECER	Você parece ter pensado em algo diferente.
EU TODO ESSE PROBLEMA LHE DAR LAMENTAR	Eu lamento por lhe dar todo esse problema.
DESAGRADÁVEL ELE OLHAR TER	Ele tem um olhar desagradável.
CLÁSSICO MÚSICA OUVIR ELE GOSTAR	Ela gosta de ouvir música clássica.
EU EU PROVIDÊNCIA PARECER NECESSÁRIO TOMAR	Eu tomarei a providência que me parecer necessária.
ISSO ACABAR MESMO (NÃO)	Isso não está acabado mesmo.
{A VOCÊ HORAS COMER}(q)	A que horas você comeu?
EM BREVE TU VER ESPERAR	Espero te ver em breve.
ELE MÃE SEU PARECER	Ele parece com sua mãe.
SÓ PROBLEMA ELES SI MESMOS PENSAR	O problema é que eles só pensam em si mesmos.
DEPOIS EU TREM MEU DESCOBRIR CARTEIRA CASA DEIXAR IR	Depois de ir a bordo do trem, eu descobri que havia deixado minha carteira em casa.
CADA VEZ EU MEU MENOS EU INFÂNCIA LEMBRAR	Eu me lembro cada vez menos da minha infância.
5 MENOR 8	5 é menor que 8.
MENOS ELE BEBER MAIS ELE DORMIR	Beba menos e durma mais.
MAIS UMA VEZ MENSAGEM ELE LER	Leia a mensagem mais uma vez.
CADA VEZ MAIS RÁPIDO MUNDO MUDAR	O mundo está mudando cada vez mais rápido.
QUANTO MAIS MAIS NÓS NÓS QUERER TER TER	Quanto mais nós temos, mais nós queremos ter.
CADA VEZ MAIS FAMOSO ELE TORNAR	Ele se tornou cada vez mais famoso.
CADA VEZ MAIS CARA VIDA ELE FICAR	A vida fica cada vez mais cara.
TEORIA ESSE 3 PARTE CONSISTIR	Essa teoria consiste em três partes.
DEMAIS TEORIA EU	A teoria é abstrata demais para mim.
EXPERIMENTO TEORIA SEU CONFIRMAR	O experimento confirmou sua teoria.
VERDADE MUITAS PALAVRAS PEDIR (NÃO)	A verdade não pede muitas palavras.
VERDADE MULHER FILHO TEMPO	A verdade é a filha do tempo.
EU VERDADE DESCOBRIR	Eu descobri a verdade.
EU VERDADE CONHECER	Eu conheço a verdade.
ELE MISÓGINO	Ele é um misógino.
VELHO EU MULHER ENCONTRAR	Eu encontrei uma mulher velha.
MULHER ESTE 2 BOLSA TER	Esta mulher tem duas bolsas.
ESTE MULHER QUEM (NÃO)	Quem é esta mulher?
VERÃO ACABAR	O verão acabou.
COMA MULHER REFEIÇÃO (NÃO)	Não coma entre as refeições.
NELE ELE CONFIAR (NÃO)	Não confie nele.
TU PODER NELE CONFIAR	Tu podes confiar nele.
SOMENTE ÁGUA FAVOR	Somente água, por favor.
ÁGUA COPO ESTE CONTER	Este copo contém água.
BOM ÁGUA ESSE GOSTO TER	Essa água tem gosto bom.
AREIA SECO ÁGUA ABSORVER	Areia seca absorve água.
TÃO IMPORTANTE NADA AMIZADE HAVER (NÃO)	Não há nada tão importante quanto a amizade.
FREQUENTE PLANTA AMIZADE REGAR PRECISAR	A amizade é uma planta que precisa ser regada frequentemente.
ESTREITO EU AMIZADE DELE LIGAR	Eu me liguei a ele por meio de uma estreita amizade.
LEGÍTIMO AMIZADE DINHEIRO MAIS VALER	Amizade legítima vale mais que dinheiro.
NÓS AMIZADE NOSSO APROFUNDAR	Nós aprofundamos nossa amizade.
LIVRO ESTE NOVO LIVRO	Este livro é um livro novo.
LIVRO ONDE (NÃO)	Onde está o livro?
ESTE LIVRO ESCREVER QUEM (NÃO)	Quem escreveu este livro?
LIVRO TEU QUAL (NÃO)	Qual livro é teu?
COMO NADA VERÃO SORVETE HAVER (NÃO)	Não há nada como o verão e um sorvete.
ÀS VEZES MEU EU TEMPO PESCAR GOZAR	Às vezes eu gozo do meu tempo livre pescando.
EU PROFUSAS DESCULPAS ATRASO MEU PEDIR	Eu peço profusas desculpas por meu atraso.
CAVALHEIRO FAMOSO PIANISTA	O cavalheiro é um pianista muito famoso.
{VOCÊ TRABALHAR}(q)	Em que você está trabalhando?
EU NOVA IORQUE SEMANA PRÓXIMO IR DEVER	Eu devo ir para Nova Iorque na próxima semana.
ELE GUERRA MATAR	Ele foi morto na guerra.
RELÓGIO ESTE GRANDE VALOR	Este relógio é de grande valor.
DOENTE CAMA ANOS FICAR ELE APARENTAR	Ela aparentava haver ficado doente de cama por anos.
FAVOR SEGREDO ELE MANTER	Por favor mantenha segredo.
VOCÊ BOCA CHEIO FALAR DEVER (NÃO)	Você não deve falar de boca cheia.
ALGUM CURSOS ESCOLA CULINÁRIA FAZER PENSAR	Ela está pensando em fazer alguns cursos em uma escola de culinária.
TUFÃO VOOS MUITOS CANCELAR	Muitos voos foram cancelados devido o tufão.
ALGUM CARNE EU TRAZER OVOS OMELETES FAZER PODER	Ela trouxe alguma carne e ovos, de forma a poder fazer omeletes.
COMO EU UTILIZAR ELE NÃO_SABER {NÃO}(headshake)	Eu não sei como utilizar isto.
TAMBÉM SE VOCÊ EU ERRAR ERRAR ESTAR	Se você está errado, eu também estou errado.
PRIMEIRO EU MOMENTO ROCK GOSTAR NÃO MAS AGORA EU GOSTAR (NÃO)	Em um primeiro momento eu não gostava de rock, mas agora eu gosto.
ATRAVÉS EU O RIO NADAR VER	Eu o vi nadar através do rio.
ELE ESTE TARDE VIR	Ele virá nesta tarde.
CAMA RESFRIADO	Ela está de cama com um resfriado.
SÓ PERIGOSO VOCÊ VIAJAR PAÍS ESTRANGEIRO	É perigoso para você viajar só por um país estrangeiro.
ÁRVORES VÁRIOS CORTAR	Várias árvores foram cortadas.
{TÃO VIDA CHEIO SOFRIMENTO}(q)	Por que a vida é tão cheia de sofrimentos?
TAL LINGUAGEM NÓS A HUMANO INVENÇÃO CONHECER	A linguagem tal qual nós a conhecemos é uma invenção humana.
NÓS CONVERSAR GOSTAR	Nós gostamos de conversar.
NÓS ELE NÓS O IMPORTAR FAZER (NÃO)	Nós não nos importamos com o que ele faz.
IRMÃO MEU COLEÇÃO SEU PRAZER SELOS TER	Meu irmão tem muito prazer em sua coleção de selos.
SILENCIOSO ELES SALA DEIXAR	Eles deixaram a sala muito silenciosamente.
TARDE COMO EU ATRASO RESULTADO TREM CHEGAR	Eu cheguei tarde como resultado do atraso do trem.
EU MELHOR EU DAR	Eu darei o melhor de mim.
ELA OUTROS CERTO PONTO OBJETIVO DIFERENCIAR TER	Ela se diferencia dos outros no ponto em que ela tem um objetivo certo.
