Bom dia, Mike.	BOM DIA MIKE
Eu não sei se ainda o tenho.	AINDA EU O TER NÃO_SABER {NÃO}(headshake)
Eu não sei o que é isso.	O EU ISSO NÃO_SABER {NÃO}(headshake)
Nunca te esquecerei.	TU ESQUECER NUNCA NÃO
Eu nunca vou te esquecer.	EU TU ESQUECER NUNCA NÃO
Estou tão gorda.	TÃO GORDO
Eu sou muito gordo.	EU GORDO
Estou com sede.	SEDE
Não pode ser!	NÃO ESTAR CERTO ELE PODER (NÃO)
Mentira!	MENTIRA
Obrigado pela explicação.	EXPLICAÇÃO
Obrigado por me explicar.	EU EXPLICAR
Isso é intrigante.	ISSO INTRIGANTE
Isso é interessante.	ISSO INTERESSANTE
Essa foi a coisa mais estúpida que eu já disse.	JÁ MAIS ESSA COISA EU IR
O mundo é uma toca de loucos.	MUNDO TOCA LOUCOS
Por quê?	QUÊ
Você queria falar comigo sobre liberdade?	{VOCÊ COMIGO FALAR QUERER}(q)
Você está certa.	VOCÊ CERTO
Você está certo.	VOCÊ CERTO
"Estou com vontade de jogar baralho." "Eu também."	VONTADE BARALHO JOGAR TAMBÉM
Pequim é a capital da China.	PEQUIM CAPITAL CHINA
O Canadá é maior que o Japão.	CANADÁ MAIOR DO QUE JAPÃO
A democracia é a pior forma de governo, exceto por todas as outras que já foram testadas anteriormente.	JÁ FORMA TODAS AS DEMOCRACIA GOVERNO OUTRAS ANTERIOR TESTAR
Todo mundo deve aprender por si próprio no fim das contas.	TODO MUNDO FIM SI PRÓPRIO CONTAS APRENDER DEVER
Finalmente!	FINAL
Por algum motivo o microfone não funcionou antes.	ANTES MICROFONE ALGUM MOTIVO FUNCIONAR (NÃO)
Ele é um ladrão.	ELE LADRÃO
Ele está me chutando!	ELE EU CHUTAR
Oi, eu sou Nancy.	OI EU NANCY
Como você está?	VOCÊ COMO (NÃO)
Como vai?	ELE IR COMO (NÃO)
Como você encontra comida no espaço?	VOCÊ COMER ESPAÇO ENCONTRAR COMO (NÃO)
Eu sou curioso.	EU CURIOSO
Eu sou curiosa.	EU CURIOSO
Só me resta esperar.	SÓ EU ESPERAR RESTAR
Eu não sei como demonstrar, já que é tão óbvio!	TÃO COMO JÁ QUE EU ÓBVIO DEMONSTRAR (NÃO)
Eu não gosto da escola.	EU ESCOLA GOSTAR (NÃO)
Eu não gosto mais de você.	EU MAIS VOCÊ GOSTAR (NÃO)
Eu não entendo alemão.	EU ALEMÃO ENTENDER (NÃO)
Eu encontrei uma solução. Mas eu a encontrei tão rápido que não pode ser a solução correta.	EU SOLUÇÃO ENCONTRAR MAS TÃO EU ENCONTRAR SOLUÇÃO NÃO ESTAR CERTO PODER (NÃO)
Eu me levantei tarde hoje de manhã.	HOJE MANHÃ EU EU TARDE LEVANTAR
Eu odeio química.	EU QUÍMICO ODIAR
Detesto química.	QUÍMICO EU DETESTAR
Eu odeio quando tem muita gente.	EU ODIAR QUANDO GENTE MUITA ELE TER
Eu tenho muitos amigos.	EU AMIGO MUITOS TER
Eu sei de tudo.	EU TUDO SABER
Estou cansado.	CANSAR
Ele precisa de dinheiro.	ELE DINHEIRO PRECISAR
Aquela loja possui muitos clientes.	LOJA MUITOS AQUELE CLIENTES POSSUIR
Das quatro estações eu gosto mais do verão.	EU 4 MULHER ESTAÇÃO VERÃO MAIS GOSTAR
Ele gosta de tudo que for doce.	ELE GOSTAR TUDO DOCE IR
Quantos assinantes essa revista tem?	ASSINANTES ESSE REVISTA TER QUANTOS (NÃO)
Alguns japoneses são tão tímidos a ponto de parecerem rudes.	TÃO JAPONESES TÍMIDOS ALGUM RUDES PARECER
Eu não consigo achar meu guarda-chuva.	EU MEU MULHER GUARDA CHUVA ACHAR CONSEGUIR (NÃO)
Nós não decidimos onde vamos descansar.	ONDE NÓS DESCANSAR DECIDIR (NÃO)
Você vai deixar a porta aberta?	{VOCÊ PORTA ABERTO DEIXAR}(q)
Todo mundo deveria ser submetido a um exame físico periodicamente.	PERIODICAMENTE TODO MUNDO FÍSICO EXAME SUBMETER DEVER
Ele estava atrás do primeiro prêmio.	ATRÁS PRIMEIRO ELE PRÊMIO
Ele estava buscando o primeiro prêmio.	PRIMEIRO ELE PRÊMIO BUSCAR
Seu objetivo era o primeiro prêmio.	OBJETIVO SEU PRIMEIRO PRÊMIO
Uma criança tem temperatura maior do que um adulto.	MAIOR CRIANÇA DO QUE TEMPERATURA ADULTO TER
Tom, o que você gostaria de comer no jantar?	{TOM VOCÊ O JANTAR COMER GOSTAR}(q)
Ele estava só.	SÓ ELE
Nós temos quatro aulas de francês por semana.	NÓS AULA 4 FRANCÊS SEMANA TER
Eu gosto de matemática.	EU MATEMÁTICA GOSTAR
Eu nunca quis dizer que você deveria pagar a conta.	EU VOCÊ DEVER CONTA DIZER PAGAR QUERER NUNCA NÃO
Qual é a população da prefeitura de Hyogo?	POPULAÇÃO HYOGO PREFEITURA QUAL (NÃO)
Ele explorou a floresta amazônica.	AMAZÔNICA ELE FLORESTA EXPLORAR
Eu gostaria que você cortasse meu cabelo.	EU VOCÊ MEU CORTAR CABELO GOSTAR
Eu estava me acostumando a viver nos Estados Unidos.	EU EU ESTADOS UNIDOS VIVER ACOSTUMAR
Nós gostamos do seu gentil conselho.	CONSELHO NÓS GENTIL SEU GOSTAR
Eu vivi aqui.	AQUI EU VIVER
Aquela casa é famosa.	CASA AQUELE FAMOSO
Ele quebrou o recorde mundial.	MUNDIAL ELE RECORDE QUEBRAR
Não é da sua conta!	CONTA SEU (NÃO)
Começou um incêndio no meio da cidade.	INCÊNDIO MEIO CIDADE COMEÇAR
Eu tenho dermatite crônica.	CRÔNICA EU DERMATITE TER
Para dizer a verdade, eu não consegui terminá-lo a tempo.	EU DIZER VERDADE TEMPO TERMINAR CONSEGUIR (NÃO)
Para dizer a verdade, eu não pude terminá-la a tempo.	EU DIZER VERDADE TEMPO TERMINAR PODER (NÃO)
Eu estava numa reunião da IAA.	EU REUNIÃO IAA
A companhia estava absorvida em um grande negócio.	GRANDE COMPANHIA ABSORVER NEGÓCIO
Ele abusou da minha confiança.	ELE CONFIANÇA MEU ABUSAR
O esquilo estava ocupado coletando nozes.	ESQUILO OCUPAR COLETANDO MULHER NOZ
O vento carrega sementes por longas distâncias.	LONGAS VENTO SEMENTES DISTÂNCIAS CARREGAR
Eu tive uma conversa interessante com minha vizinha.	INTERESSANTE EU CONVERSA MULHER VIZINHO MEU TER
Tive uma interessante conversa com meu vizinho.	INTERESSANTE CONVERSA VIZINHO MEU EU TER
Muitas famílias se mudaram para começar uma nova vida na fronteira.	FAMÍLIAS MUITAS COMEÇAR NOVO VIDA FRONTEIRA MUDAR
Tive um sonho estranho ontem à noite.	ONTEM ESTRANHO SONHO NOITE EU TER
Você está pronto para ir?	{VOCÊ PRONTO IR}(q)
Vocês estão prontos para ir?	{VOCÊS PRONTOS IR}(q)
Uma pessoa com inteligência mediana entenderia isso.	MEDIANO PESSOA INTELIGÊNCIA ISSO ELE ENTENDER
Me chamam de Bob.	EU BOB NOME
Elas me chamam Bob.	ELAS EU BOB NOME
Eles me chamam de Bob.	ELES EU BOB NOME
Ela prometeu me escrever toda semana.	EU TODO SEMANA ESCREVER PROMETER
Ficarei feliz em te ajudar a qualquer hora.	TU QUALQUER AJUDAR HORA FICAR
Eu ficarei feliz em te ajudar qualquer hora dessas.	EU QUALQUER FELIZ AJUDAR HORA FICAR
Ele não pode fazer esse tipo de trabalho, e ela também não.	ESSE ELE ELE TIPO TRABALHO FAZER AINDA_NÃO PODER {NÃO}(headshake)
Meu pai pegou três peixes ontem.	ONTEM PAI MEU 3 PEIXE PEGAR
Meu pai pescou três peixes ontem.	ONTEM PAI MEU 3 PEIXE PESCAR
Eu trabalhei numa agência de correios durante as férias de verão.	EU CORREIOS AGÊNCIA FÉRIAS VERÃO TRABALHAR
O fato de ele ter crescido na China é bem conhecido.	BEM FATO CHINA DELE CRESCER CONHECER
Parece que você é da Índia.	VOCÊ PARECER ÍNDIA
Vamos nos encontrar daqui a dois anos contando a partir de hoje.	AQUI NÓS 2 ANO CONTAR HOJE ENCONTRAR IR
Ele é passivo em todas situações.	ELE TODO PASSIVO MULHER SITUAÇÃO
Se uma árvore morrer, plante outra no seu lugar.	SE ÁRVORE SEU OUTRA LUGAR MORRER
Quero ir aos EUA um dia.	EUA DIA IR QUERER
Mas Susan prometeu que ela ligaria.	MAS SUSAN PROMETER
Gatos odeiam serem molhados.	GATOS MOLHAR MOLHAR ODIAR
As casas e os carros pareciam pequenas vistas do céu.	CASA PEQUENO CARROS VISTAS CÉU PARECER
Nós compraremos um carro novo próxima semana.	NOVO PRÓXIMO SEMANA NÓS CARRO COMPRAR
Nós vamos comprar um novo carro na próxima semana.	NOVO PRÓXIMO NÓS CARRO SEMANA COMPRAR
Eu sempre esqueço o nome das pessoas.	SEMPRE EU NOME PESSOA ESQUECER
Coma mais vegetais frescos.	COMA VEGETAIS MAIS
Comam mais vegetais frescos.	VEGETAIS FRESCOS MAIS ELES COMER
Ele admitiu sua vontade de fugir daqui.	AQUI ELE VONTADE SEU ADMITIR FUGIR
Eu acho que é perigoso subir aquela montanha sozinho.	EU AQUELE ACHAR PERIGOSO SUBIR SÓ MONTANHA
Creio eu que seja perigoso escalar aquela montanha só.	SÓ AQUELE EU CRER EU PERIGOSO ESCALAR MONTANHA
Faça tudo o que ele mandar.	ELE MANDAR FAZER
A gravidade é a força natural pela qual objetos atraem uns aos outros.	GRAVIDADE FORÇA OBJETOS OUTROS QUAL UNS ATRAIR
Eu sei esquiar.	EU ESQUIAR SABER
Embora ele possa ser inteligente, ele não é sábio.	ELE ELE EMBORA PODER INTELIGENTE SÁBIO (NÃO)
Ele fala japonês muito bem.	BEM ELE JAPONÊS FALAR
Ele tem duas filhas.	ELE 2 MULHER FILHO TER
Jim também está vindo para a festa.	TAMBÉM JIM FESTA VIR
Meu irmão é um idiota.	IRMÃO IDIOTA MEU
Eu a conheço de vista, mas jamais falei com ela.	EU A VISTA CONHECER MAS EU FALAR (NÃO)
Cale-se e escute, garoto!	ELE CALAR GAROTO ELE ESCUTAR
Cale a boca e escute, garota!	CALE BOCA MULHER GAROTO ELE ESCUTAR
Onde está o creme dental?	CREME DENTAL ONDE (NÃO)
Estou em férias pagas.	PAGAS FÉRIAS
Eu sei qual é o nome dele.	EU SABER QUAL NOME DELE
Você é responsável pelos resultados.	VOCÊ RESPONSÁVEL RESULTADOS
Ele queria fazer isso sem se importar com as consequências.	ELE ISSO IMPORTAR CONSEQUÊNCIAS FAZER QUERER
Meus olhos estão vermelhos.	OLHO VERMELHOS MEU
Eu vi terra à distância.	EU TERRA DISTÂNCIA VER
Eu preciso dos seguintes itens.	EU PRECISO SEGUINTES ITENS
Eu continuei a cantar.	EU CANTAR CHORAR CONTINUAR
Quanto dinheiro vocês têm com vocês?	VOCÊS DINHEIRO VOCÊS TER QUANTO (NÃO)
Estamos aqui!	AQUI
Eu quero aquela bolsa.	EU AQUELE BOLSA QUERER
Pode gerar um problema sério.	SÉRIO PROBLEMA GERAR ELE PODER
"Pode me passar o açúcar?" "Aqui está."	EU PASSADO AÇÚCAR PASSADO PODER AQUI
O que ela mais gosta é conversar.	O MAIS CONVERSAR GOSTAR
A Holanda é um país pequeno.	HOLANDA PAÍS PEQUENO
Você deve dar um fim nesse comportamento estúpido.	VOCÊ ESSE FIM COMPORTAMENTO ESTÚPIDO DAR DEVER
Eu entrei para o exército.	EU EXÉRCITO ENTRAR
Eu acho que você está errado.	EU VOCÊ ACHAR ERRAR
O governo francês lançou um jogo online que desafia o contribuinte a balancear o orçamento nacional.	GOVERNO CONTRIBUINTE ORÇAMENTO NACIONAL JOGO LANÇAR BALANCEAR DESAFIAR
Você é estudante?	{VOCÊ ESTUDANTE}(q)
Eu estou aqui desde as cinco horas.	AQUI EU 5 HORA
Meu computador está quebrado e eu tenho que consertá-lo.	COMPUTADOR MEU QUEBRAR EU CONSERTAR
Entrem no ônibus um de cada vez.	CADA VEZ ÔNIBUS 1 ELES ENTRAR
Onde você estava na noite passada?	VOCÊ NOITE PASSADO PASSADO ONDE (NÃO)
Ele voltou dois dias depois.	DEPOIS ELE 2 DIA VOLTAR
Ela estava bem nervosa com o seu primeiro voo.	PRIMEIRO NERVOSO PRIMEIRO VOO ELE TUDO BEM
Eu saí do trem.	EU TREM SAIR
Eu desci do trem.	EU TREM DESCER
Que hora você se levanta?	{HORA VOCÊ LEVANTAR}(q)
Eu cheguei tarde demais para escutar seu discurso.	TARDE EU SEU ESCUTAR DEMAIS DISCURSO CHEGAR
Vou fazer chá para você.	CHÁ VOCÊ FAZER
Nesse inverno o recorde de queda de neve foi quebrado.	RECORDE ESSE INVERNO QUEDA NEVE QUEBRAR
Ele é extremamente bonito.	EXTREMO ELE BONITO
Sua completa ignorância em relação ao acidente me surpreendeu.	COMPLETAR ACIDENTE SEU IGNORÂNCIA RELAÇÃO EU COMPLETAR SURPREENDER
Ela sentou-se perto de mim.	MIM SENTAR
Ela recusou o meu pedido.	PEDIDO MEU ELE RECUSAR
Ele decidiu ser médico.	ELE MÉDICO
Me desculpe por ter abrido sua carta sem querer.	EU CARTA SEU DESCULPAR ABRIR QUERER
Por que você recusou a oferta dele?	{VOCÊ OFERTA DELE RECUSAR}(q)
Os dias estão se tornando cada vez mais longos.	CADA VEZ MAIS LONGOS DIA TORNAR
Eu dei um tapa na cara dele.	EU TAPA CARA DELE DAR
Eu dei uma mãozada na cara dele.	EU MÃOZADA CARA DELE DAR
Eu acho difícil acordar cedo em manhãs frias.	CEDO EU DIFÍCIL MANHÃS FRIAS ACORDAR ACHAR
Ela se esquentou perto do fogo.	PERTO FOGO ELE ESQUENTAR
Aquela casa pertence a ele.	CASA AQUELE DELE ELE PERTENCER
Aquela casa é grande.	CASA AQUELE GRANDE
Aquela casa pertence a mim.	CASA AQUELE EU PERTENCER
Aquela casa é minha.	CASA AQUELE MEU
A casa é mal-assombrada.	CASA MAL ASSOMBRADA
Ele se apaixonou por ela à primeira vista.	À PRIMEIRA VISTA ELE ELE APAIXONAR
Estou em frente a um grande perigo.	PERIGO GRANDE
O orçamento foi cortado até o osso.	ORÇAMENTO OSSO CORTAR
Eu farei um terno novo para você.	NOVO EU TERNO VOCÊ FAZER
O médico dele disse para ele descansar.	MÉDICO DELE DESCANSAR ELE DIZER
É mais interessante viajar sozinho do que em grupo.	INTERESSANTE SÓ GRUPO MAIS DO QUE
Nós voamos de Nova York para Saint Louis passando por Chicago.	NÓS PASSADO NOVA YORK SAINT LOUIS CHICAGO VOAR
Ele a presenteou com uma boneca.	ELE A BONECA PRESENTEAR
Levando tudo em conta, ela tem uma vida feliz.	FELIZ LEVAR TUDO CONTA VIDA ELE TER
Ele é alemão de nascimento.	ELE ALEMÃO NASCIMENTO
Um estranho entrou no prédio.	ESTRANHO PRÉDIO ELE ENTRAR
Ela me deu um bom par de sapatos.	BOM PAR EU SAPATOS DAR
Muitas crianças estavam brincando no parque.	CRIANÇAS PARQUE MUITAS BRINCAR
Não importa quão faminto você está, você deve comer devagar.	QUÃO VOCÊ VOCÊ FAMINTO DEVAGAR COMER DEVER IMPORTAR (NÃO)
Você tem algo marcado para este fim de semana?	{FIM SEMANA VOCÊ ESTE ALGO TER MARCAR}(q)
Tenho uma caneta.	CANETA EU TER
Por que as pessoas podem ser classificadas nessas categorias, entretanto, é um mistério.	ENTRETANTO PESSOA ESSE ELES PODER CATEGORIAS MISTÉRIO CLASSIFICAR
A ilha é quente o ano inteiro.	ILHA QUENTE INTEIRO ANO
"Ah, sim", ele respondeu.	AH ELE RESPONDER
Um carro que passava molhou meu casaco com água.	CARRO CASACO ÁGUA MEU MOLHAR MOLHAR PASSADO
Não importa o tamanho da riqueza de um homem: ele não pode comprar amor.	ELE TAMANHO HOMEM AMOR COMPRAR IMPORTAR NÃO PODER (NÃO)
A pobreza tinha o ensinado a se virar sozinho.	POBREZA SÓ ENSINAR TER VIRAR
O que médicos deviam fazer é salvar vidas e lutar contra a morte.	O MÉDICO SALVAR VIDA FAZER DEVER MORTE LUTAR
O que ela mais gosta é de viajar.	O MAIS GOSTAR VIAJAR
Ocorreu um incêndio na minha vizinhança ontem à noite.	ONTEM VIZINHANÇA INCÊNDIO MEU NOITE ELE OCORRER
Meu pai e minha mãe têm uma grande fazenda lá.	PAI MEU LÁ GRANDE MEU MÃE FAZENDA TER
Eu peso mais ou menos 60 quilos.	MAIS OU MENOS EU 60 QUILO PESAR
Nós vamos colocar um aviso na frente da máquina por razões de segurança.	NÓS AVISO MÁQUINA FRENTE MULHER RAZÃO SEGURANÇA COLOCAR
Eu tirei uma foto dela.	EU FOTO TIRAR
Eu fiz uma foto dela.	EU FOTO FAZER
Sua responsabilidade era cuidar das crianças.	SEU RESPONSABILIDADE CUIDAR CRIANÇAS
Nós estudamos música.	NÓS MÚSICA ESTUDAR
Vamos assistir televisão aqui.	AQUI TELEVISÃO ASSISTIR
Melhor pedir conselhos a seu advogado.	MELHOR CONSELHOS ADVOGADO SEU PEDIR
Nunca aperte esse botão.	BOTÃO ESSE APERTAR NUNCA NÃO
Esse é o lugar onde o incidente ocorreu.	ONDE INCIDENTE ESSE LUGAR OCORRER
O que você faria se você tivesse, por exemplo, dez mil dólares?	{POR EXEMPLO O VOCÊ SE VOCÊ TER DÓLAR FAZER}(q)
Uma república é uma nação na qual o líder não é rei ou rainha, mas um presidente.	NAÇÃO LÍDER REPÚBLICA OU MULHER REI MAS PRESIDENTE REIR (NÃO)
Eu estou grato por sua hospitalidade e pela hospitalidade do povo Egípcio.	EGÍPCIO EU GRATO HOSPITALIDADE HOSPITALIDADE POVO SEU ESTAR
Ele tentou várias maneiras diferentes.	DIFERENTE ELE VÁRIOS MANEIRAS TENTAR
Você prefere arroz ou pão?	{VOCÊ ARROZ OU PÃO PREFERIR}(q)
Qual você prefere: arroz ou pão?	{VOCÊ ARROZ OU PÃO PREFERIR QUAL}(q)
Qual é a hora exata?	HORA EXATA QUAL (NÃO)
Qual é o momento certo?	MOMENTO CERTO QUAL (NÃO)
Eu quero saber se a minha bagagem vai chegar.	EU BAGAGEM MEU CHEGAR SABER QUERER
Eu não pude evitar rir do plano.	EU PLANO EVITAR PODER (NÃO)
Meu pai fez um gesto para que eu saísse do quarto.	PAI MEU EU GESTO SAIR QUARTO FAZER
A mulher da limpeza interrompeu a conversa.	MULHER LIMPEZA CONVERSA INTERROMPER
O trem ganhou velocidade gradualmente.	GRADUAL TREM VELOCIDADE GANHAR
Meu dever de casa ainda está para ser feito.	AINDA DEVER MEU FAZER CASA FAZER
O professor marcou em seu nome que ele estava ausente.	PROFESSOR SEU ELE MARCAR AUSENTE NOME
O quarto do meu irmão está sempre bagunçado.	SEMPRE QUARTO IRMÃO MEU BAGUNÇADO
A comunidade é formada por indivíduos.	COMUNIDADE INDIVÍDUOS FORMAR
Meu pai chega na estação às cinco.	PAI ESTAÇÃO MEU 5 CHEGAR
Tinha-lhe desejado felizes festas.	FESTA FELIZES DESEJAR EU TER
Bom dia a todos.	BOM DIA TODO
Olá!	OLÁ
Você gosta de cantar?	{VOCÊ CANTAR GOSTAR}(q)
Você fala italiano?	{VOCÊ ITALIANO FALAR}(q)
Eu não sei mais o que fazer.	MAIS EU O FAZER NÃO_SABER {NÃO}(headshake)
Eu estou traduzindo.	EU TRADUZIR
Se eu pudesse te mandar um marshmallow, Trang, eu mandaria.	SE EU TRANG MARSHMALLOW EU MANDAR MANDAR PODER
Onde fica o banheiro?	BANHEIRO FICAR ONDE (NÃO)
Onde posso encontrar um banheiro?	BANHEIRO ENCONTRAR EU PODER ONDE (NÃO)
Bom apetite!	BOM APETITE
Estou com muita fome.	FOME MUITA
A cavalo dado não se olha o dente.	CAVALO DENTE DAR OLHAR (NÃO)
Eu não sei quando Bob veio para o Japão.	EU NÃO_SABER QUANDO BOB JAPÃO VIR {NÃO}(headshake)
Eu normalmente vou para casa às quatro.	CASA EU 4 NORMAL IR
Eu vou atirar nele.	EU NELE ATIRAR
Não querer é o mesmo que ter.	MESMO QUE TER (NÃO)
Por favor, nos dê alguns exemplos.	NÓS ALGUM EXEMPLOS DAR
Roma não foi construída em um único dia.	ROMA DIA CONSTRUIR (NÃO)
Isso não é uma faca. ISSO é uma faca.	ISSO FACA ISSO FACA (NÃO)
Tem uma maça na mesa.	MAÇA MESA ELE TER
Há uma maçã sobre a mesa.	MAÇÃ MESA HAVER
Pense nisso.	ISSO ELE PENSAR
Ser surpreendido, se perguntar, é começar a entender.	PERGUNTAR SURPREENDER COMEÇAR ENTENDER
Não vemos as coisas como elas são, mas como nós somos.	COMO COISA ELAS VER NÃO MAS COMO NÓS (NÃO)
Quando eu cheguei em casa, eu descobri que tinha perdido minha carteira.	QUANDO EU EU CASA MEU PERDER CARTEIRA CHEGAR DESCOBRIR
Para onde você quer ir nesse verão?	{ONDE VOCÊ ESSE VERÃO IR QUERER}(q)
Para onde você quer viajar no próximo verão?	{ONDE VOCÊ PRÓXIMO VERÃO VIAJAR QUERER}(q)
De que país você é?	{PAÍS VOCÊ}(q)
Quem inventou o telefone?	TELEFONE INVENTAR QUEM (NÃO)
"Quem é aquela garota?" "Aquela é Keiko."	QUEM AQUELE MULHER GAROTO AQUELA KEIKO
Todas as estradas levam a Roma.	TODAS AS TU ESTRADAR ROMA LEVAR
Todos os caminhos levam a Roma.	TODO CAMINHOS ROMA LEVAR
Bill estava no Japão.	BILL JAPÃO
Você sentiu a minha falta?	{VOCÊ MEU SENTIR}(q)
Sentiu saudades de mim?	{SAUDADES EU SENTIR}(q)
Exceto que aqui não é tão simples assim.	ASSIM EXCETO SIMPLES TÃO AINDA_{NÃO}(headshake)
A Alemanha é uma república parlamentar.	ALEMANHA PARLAMENTAR REPÚBLICA
Boa noite, mãe.	BOM NOITE MÃE
Ele pegou a sua caneta e começou a escrever.	ELE CANETA SEU PEGAR ESCREVER COMEÇAR
Olá, mundo!	OLÁ MUNDO
Oi, como você está?	OI VOCÊ COMO (NÃO)
Olá, tudo bem?	{BEM OLÁ TUDO}(q)
Eu estou com dor de estômago.	EU DOR ESTÔMAGO
Eu gosto da luz de velas.	EU LUZ VELAS GOSTAR
Eu me lembro de tê-lo encontrado em Paris.	EU EU PARIS LEMBRAR ENCONTRAR
Eu disse para eles para me enviarem outra entrada.	EU OUTRO ELES EU ENVIAR ENTRADA DIZER
Eu queria poder ir ao Japão.	EU JAPÃO PODER IR QUERER
Eu não vou perder!	EU PERDER (NÃO)
Eu vou ligar para eles amanhã, quando eu voltar.	AMANHÃ EU ELES LIGAR QUANDO EU VOLTAR
Farei o melhor de mim para não atrapalhar seus estudos.	MELHOR SEU EU ESTUDOS FAZER ATRAPALHAR (NÃO)
Estou morrendo de fome!	FOME MORRER
