Diana através dos ramos	ATRAVÉS DIANA RAMOS
Poder-se-ia chamar-lhe Dia de Ano Novo, e fazê-lo preceder o dia 1 de Janeiro; e o outro dia no ano bissexto poderia, do mesmo modo, preceder o dia 1 de Julho e chamar-se Dia de Ano Bissexto.	LHE DIA ANO NOVO NOME PODER 1 JANEIRO DIA PRECEDER FAZER MODO OUTRO DIA ANO DIA 1 JULHO PRECEDER PODER DIA ANO BISSEXTO NOME
Por este processo são iguais todos os trimestres e semestres	TRIMESTRES ESTE TODO IGUAIS PROCESSO SEMESTRES
Cada mês contém o mesmo número de dias úteis	MESMO ÚTEIS MÊS CADA NÚMERO DIA CONTER
Os meses, porém, não são iguais, nem contêm um número completo de semanas	PORÉM MESES IGUAIS PORÉM SEMANAS NÚMERO COMPLETO CONTER (NÃO)
Além disso, as datas não caem no mesmo dia da semana em cada mês, ao passo que a comparação estatística de datas futuras com datas passadas, sendo menos complicada que no sistema dos treze meses, é mais complicada que no primeiro sistema.	ALÉM COMPARAÇÃO CADA DATA ISSO PRIMEIRO PRIMEIRO PRIMEIRO PRIMEIRO PRIMEIRO PRIMEIRO PRIMEIRO AO PASSO QUE MÊS MÊS SISTEMA PASSADO CAIR (NÃO)
Os processos que pertencem a este sistema dividem o ano em 13 meses de 28 dias, ou 4 semanas certas, cada um, o que perfaz um total de 52 semanas, ou 364 dias	PROCESSO ESTE SISTEMA 13 ANO MÊS 28 DIA PERTENCER DIVIDIR OU SEMANA CERTO O 4 TOTAL 52 SEMANA PERFAZER
Sobra um dia (o 365.º), que fica fora da semana.	FORA DIA 0 SEMANA SOBRAR FICAR
Como no segundo sistema, este ""dia em branco"" poderia inserir-se entre o 28.º dia do 13.º mês e o 1.º dia do 1.º mês do ano seguinte, ou em qualquer outra altura.	COMO DOIS OUTRO ESTE QUALQUER SISTEMA DIA BRANCO MÊS ANO ALTURA ELE INSERIR PODER
Este calendário seria perpétuo, pois os dias da semana cairiam nas mesmas datas em todos os meses	ESTE CALENDÁRIO PERPÉTUO POIS DIA TODO SEMANA DATAS MESES CAIR MESMO
Quer dizer, se o 1.º de Janeiro for domingo, domingo será também o primeiro dia de todos os treze meses do ano	QUER DIZER SE 0 DOMINGO TODO JANEIRO 13 DOMINGO TAMBÉM PRIMEIRO MÊS ANO IR
Todos os meses são iguais, e têm o mesmo número de semanas, de dias úteis e de domingos	TODO MESES IGUAIS MESMO ÚTEIS NÚMERO SEMANAS DIA ELES TER
Os períodos para os quais se calculam os salários correspondem exactamente aos períodos de despesa	EXACTO OS SALÁRIOS PERÍODOS DESPESA CALCULAR CORRESPONDER
Finalmente, o facto de que todos os meses são iguais tem grandes vantagens do ponto de vista das estatísticas mensais	FINAL IGUAIS FACTO TODO MESES TER GRANDE ESTATÍSTICAS MENSAIS PONTO
Há, porém, a considerar que 13 não é divisível por 2, 3, 4 ou 6; que os “trimestres” do ano, ainda que iguais, não contêm o mesmo número de meses; e que a introdução de um ano de treze meses implica uma mudança considerável em costumes que datam de milhares de anos, e, em geral, seria preciso um número muito maior de rectificações estatísticas do que se se mantivesse o sistema dos doze meses.	CONSIDERAR 13 PORÉM HAVER QUE 2 3 DIVISÍVEL PORÉM MESMO ANO TRIMESTRE 6 NÚMERO AINDA QUE CONTER MÊS OU QUE ESTATÍSTICA INTRODUÇÃO MILHAR MAIOR MULHER RECTIFICAÇÃO 12 13 IMPLICAR SISTEMA SISTEMA SISTEMA SISTEMA COSTUME NÚMERO SISTEMA MÊS MANTER (NÃO)
Cabe aqui transcrever os próprios comentários da Comissão	AQUI PRÓPRIOS COMENTÁRIOS COMISSÃO TRANSCREVER
Diz ela que:	DIZER
geralmente falando, e considerando apenas o valor intrínseco dos dois últimos sistemas principais, o sistema dos treze meses parece de maior utilidade do ponto de vista da estatística e do comércio, logo que o mês, e não o trimestre, se torne a unidade na vida económica	GERAL FALAR INTRÍNSECO APENAS ÚLTIMO PRINCIPAL MAIOR SISTEMA CONSIDERAR VALOR 2 SISTEMA 13 UTILIDADE MÊS PONTO ESTATÍSTICA PARECER LOGO QUE COMÉRCIO MÊS ECONÓMICO TRIMESTRE UNIDADE VIDA TORNAR (NÃO)
No caso contrário, seria preferível o sistema dos doze meses	SISTEMA CASO PREFERÍVEL MÊS 12
Com respeito à possibilidade da sua aplicação prática, a investigação preliminar mostra que os vários governos se inclinam mais para o sistema dos doze meses, que desarranjaria menos os hábitos estabelecidos	MAIS INVESTIGAÇÃO SEU VÁRIOS GOVERNO APLICAÇÃO RESPEITO 12 12 MÊS HÁBITO INCLINAR 12 MENOS MOSTRAR DESARRANJAR ESTABELECER
A maioria dos organismos comerciais parece ser da mesma opinião	MAIORIA ORGANISMOS OPINIÃO PARECER MESMA
Há, porém, um número crescente (caminhos-de-ferro ingleses e muitos organismos americanos) que parece favorecer o sistema dos treze meses, e especialmente para ele se inclinam os que usam já esse sistema como calendário auxiliar, e por isso estão habilitados a avaliar dos seus resultados.	CAMINHOS FERRO INGLESES NÚMERO PORÉM CRESCENTE HAVER PORÉM MUITO ORGANISMO QUE SISTEMA MÊS 13 FAVORECER PARECER ESPECIAL ELES USAR SISTEMA DELE QUE JÁ COMO ESSE CALENDÁRIO AUXILIAR INCLINAR AVALIAR RESULTADOS ISSO HABILITAR SEU
Na segunda parte do seu relatório trata a Comissão de uma data fixa para o domingo de Páscoa, que presentemente oscila entre 22 de Março e 25 de Abril — um período que abrange 35 dias	PARTE RELATÓRIO COMISSÃO DOMINGO DATA PÁSCOA MARÇO SEU TRATAR OSCILAR PRESENTE DOIS RELATÓRIO TRATAR DATA DOMINGO COMISSÃO FIXAR MARÇO OSCILAR 22 ELE ABRANGER 25 QUE ABRIL 35 DIA
Das respostas recebidas pela Comissão depreende-se que esta irregularidade afecta desfavoravelmente um certo número de indústrias, e notavelmente as do vestuário feminino e masculino, a de sapataria, e a indústria de turismo	IRREGULARIDADE CERTO ESTE RESPOSTAS COMISSÃO SAPATARIA INDÚSTRIA TURISMO AFECTAR RECEBER DEPREENDER
Também se queixam algumas instituições pedagógicas que afecta bastante a regularidade do ano escolar.	TAMBÉM MULHER INSTITUIÇÃO ALGUM REGULARIDADE ANO ESCOLAR BASTANTE QUEIXAR AFECTAR
É curioso notar que, segundo o relata a Comissão, nenhuma das grandes entidades religiosas mostrou repugnar-lhe, do ponto de vista dogmático, a fixação da data da Páscoa	NENHUMA GRANDE IGREJA CURIOSO ENTIDADES NOTAR ELE RELATAR DATA PÁSCOA REPUGNAR
A maioria das respostas recebidas dão a preferência ao segundo domingo de Abril	DOIS MAIORIA PREFERÊNCIA RESPOSTAS DOMINGO ABRIL RECEBER DAR
Concordando, em princípio, com esta fixação, a Comissão adverte, contudo, que o segundo domingo de Abril poderia cair no dia 8, e nesse caso a Festa da Anunciação (25 de Março) cairia no mesmo dia que o domingo de Pascoela.	QUE ESTE COMISSÃO ADVERTIR CONTUDO DOMINGO ABRIL FIXAÇÃO CONCORDAR PRINCÍPIO 8 CAIR DIA PODER CONTUDO MESMO ESSE FESTA DA ANUNCIAÇÃO 25 DIA PASCOELA QUE CASO CAIR DOMINGO
Para evitar isto, propõe a Comissão que se fixe para domingo de Páscoa o domingo seguinte ao segundo sábado de Abril.	ELE SÁBADO EVITAR COMISSÃO DOIS DOIS DOIS DOMINGO SEGUINTE ABRIL PROPOR FIXAR
No fecho do seu relatório, dizem os peritos que formam a Comissão que tiveram impressão nítida de que a opinião pública não estava preparada, mesmo onde acolhesse bem uma reforma, para sugerir uma reforma imediata num sentido determinado	MULHER OPINIÃO PÚBLICA SEU REFORMA IMPRESSÃO REFORMA SENTIDO FORMAR TER PREPARAR SUGERIR DETERMINAR (NÃO)
A opinião esclarecida e organizada deveria, em cada país, analisar detidamente os princípios em que o problema assenta, e só assim se poderia escolher, quando chegar a ocasião, o mais conveniente de entre os vários sistemas	OPINIÃO ESCLARECER DETIDO PROBLEMA ORGANIZAR CADA ELE DEVER PAÍS PRINCÍPIOS DEVER ANALISAR ASSENTAR SÓ ASSIM ESCOLHER PODER QUANDO VÁRIOS CONVENIENTE SISTEMA OCASIÃO MAIS CHEGAR
Deveria haver, especialmente, um novo exame, da parte das corporações religiosas que entre si se opõem, do princípio do ""dia em branco""; uma discussão do assunto, em cada país, entre essas corporações e outras entidades interessadas na matéria; um exame por estatísticos e economistas da importância relativa da semana e do trimestre como unidades da vida económica, em oposição ao mês, para se estabelecer uma base para se determinar a escolha entre o ano de doze e o de treze meses; e uma definição das vantagens de uma reforma limitada.	ESPECIAL ESSE CADA EXAME ASSUNTO PAÍS MULHER CORPORAÇÃO HAVER DEVER OPOR ENTIDADES OUTRO MATÉRIA ESTATÍSTICOS EXAME INTERESSAR ECONOMISTAS RELATIVO IMPORTÂNCIA SEMANA TRIMESTRE UNIDADE VIDA OPOSIÇÃO BASE MÊS ESCOLHA 12 12 ANO 12 ESTABELECER DETERMINAR 13 MÊS DEFINIÇÃO MULHER VANTAGEM REFORMA LIMITAR
É também essencial, continua a Comissão, que as investigações neste sentido [...] sejam coordenadas e organizadas em cada país numa base oficial ou semioficial	TAMBÉM ESSENCIAL MULHER INVESTIGAÇÃO ESTE COMISSÃO CONTINUAR SENTIDO COORDENAR OFICIAL CADA PAÍS SEMIOFICIAL BASE OU ORGANIZAR
Uma organização desta espécie tornaria possível o formar-se, nos principais países, aquele corpo de união pública que presentemente ainda não existe, e sem o qual seria prematuro tentar estabelecer qualquer acordo internacional .	PRESENTE AQUELE ORGANIZAÇÃO ESTE ESPÉCIE POSSÍVEL UNIÃO FORMAR TORNAR EXISTIR AINDA_NÃO O PREMATURO QUALQUER TENTAR INTERNACIONAL ACORDO ESTABELECER {NÃO}(headshake)
Aqui, sem outro Apolo do que Apolo,	AQUI OUTRO DO QUE APOLO APOLO
Sem um suspiro abandonemos Cristo	SUSPIRO CRISTO ABANDONAR
E a febre de buscarmos	FEBRE BUSCAR
Um deus dos dualismos.	DEUS DUALISMOS
E longe da cristã sensualidade	LONGE CRISTÃO SENSUALIDADE
Que a casta calma da beleza antiga	CASTA CALMO ANTIGO BELEZA
Nos restitua o antigo	NÓS ANTIGO RESTITUIR
Sentimento da vida.	SENTIMENTO VIDA
Em Ceres anoitece.	CERES ANOITECER
Nos píncaros ainda	AINDA PÍNCAROS
Faz luz.	LUZ ELE FAZER
Sinto-me tão grande	TÃO EU SENTIR EU GRANDE
Nesta hora solene	ESTE SOLENE HORA
E vã	VÃO
Que, assim como há deuses	ASSIM COMO HAVER DEUSES
Dos campos, das flores	CAMPOS MULHER FLOR
Das searas,	SEARAS
Agora eu quisera	AGORA EU QUERER
Que um deus existisse	DEUS EXISTIR
Não a ti, mas aos teus, odeio, Cristo.	TU MAS CRISTO TEUS ODIAR
Tu não és mais que um deus a mais no eterno	MAIS TU DEUS MAIS ETERNO (NÃO)
Pantéon que preside	PANTÉON PRESIDIR
À nossa vida incerta.	VIDA INCERTO NOSSO
Nem maior nem menor que os novos deuses,	MAIOR MENOR NOVOS DEUSES NEM
Tua sombria forma dolorida	SOMBRIO DOLORIDO FORMA TEU
Trouxe algo que faltava	ALGO TRAZER FALTAR
Ao número dos divos.	NÚMERO DIVOS
Por isso reina a par de outros no Olimpo,	ISSO OUTROS OLIMPO REINAR
Ou pela triste terra se quiseres	OU ELE PELAR TERRA TRISTE PELAR QUERER
Vai enxugar o pranto	PRANTO ENXUGAR
Dos humanos que sofrem.	HUMANOS SOFRER
Não venham, porém, estultos teus cultores	PORÉM CULTORES ESTULTOS TEU ELES VIR (NÃO)
Em teu nome vedar o eterno culto	CULTO ETERNO NOME TEU VEDAR
Das presenças maiores	MAIORES PRESENÇAS
E parceiras da tua.	MULHER PARCEIRO TEU
A esses, sim, do âmago eu odeio	SIM ESSES ÂMAGO EU ODIAR
Do crente peito, e a esses eu não sigo,	CRENTE PEITO ESSES EU SEGUIR (NÃO)
Supersticiosos leigos	SUPERSTICIOSOS LEIGOS
Na ciência dos deuses.	CIÊNCIA DEUSES
Ah, aumentai, não combatendo nunca.	AH VÓS AUMENTAR NUNCA COMBATER {NÃO}(headshake)
Enriquecei o Olimpo, aos deuses dando	OLIMPO DEUSES ENRIQUECER DAR
Cada vez maior força	CADA VEZ FORÇA MAIOR
Plo número maior.	PLO NÚMERO MAIOR
Basta os males que o Fado as Parcas fez	FADO AS PARCAS MAL BASTAR FAZER
Por seu intuito natural fazerem.	NATURAL INTUITO SEU ELES FAZER
Nós homens nos façamos	HOMEM NÓS NÓS FAZER
Unidos pelos deuses.	DEUSES UNIR
O burburinho da água	BURBURINHO ÁGUA
O burburinho da água	BURBURINHO ÁGUA
No regato que se espalha	REGATO ESPALHAR
É como a ilusão que é mágoa	ILUSÃO MÁGOA
Quando a verdade a baralha.	QUANDO BARALHA
— A única vantagem de estudar é gozar o quanto os outros não disseram.	VANTAGEM O OUTROS A GOZAR ESTUDAR DIZER (NÃO)
— A arte é um isolamento	A ARTE ISOLAMENTO
Todo o artista deve buscar isolar os outros, levar-lhes às almas o desejo de estarem sós	TODO ARTE OUTROS DESEJO SÓS ALMAS BUSCAR ISOLAR DEVER
O triunfo supremo de um artista é quando a ler suas obras o leitor prefere tê-las e não as ler	TRIUNFO SUPREMO ARTE QUANDO ELE PREFERIR OBRAS LEITOR SEU TER LER LER AS LER (NÃO)
Não é porque isto aconteça aos consagrados; é porque é o maior tributo (...)	PORQUE PORQUE ELE ELE ACONTECER CONSAGRAR MAIOR TRIBUTO (NÃO)
— Ser lúcido é estar indisposto consigo próprio	EU CONSEGUIR LÚCIDO INDISPOR
O legítimo estado de espírito com respeito a olhar para dentro de si próprio é o estado (...) de quem olha nervos e indecisões.	SI ESTADO PRÓPRIO ESTADO RESPEITO ESPÍRITO NERVOS MULHER INDECISÃO OLHAR OLHAR
A única atitude intelectual digna de uma criatura superior é a de uma calma e fria compaixão por tudo quanto não é ele próprio	ATITUDE CALMO CRIATURA A COMPAIXÃO PRÓPRIO ELE (NÃO)
Não que essa atitude tenha o mínimo cunho de justa e verdadeira; mas é tão invejável que é preciso tê-la.	MÍNIMO ATITUDE ESSE CUNHO JUSTO TER VERDADEIRO MAS TÃO INVEJÁVEL TER PRECISO (NÃO)
Ou o infinito se pode aplicar à matéria ou não.	OU INFINITO MATÉRIA OU APLICAR PODER (NÃO)
Admitamos que se pode	NÓS ADMITIR
Há-de então aplicar-se por multiplicação e por divisão.	ENTÃO MULTIPLICAÇÃO DIVISÃO ELE APLICAR 1
Dividamos infinitamente o átomo A.	INFINITO ÁTOMO A. DIVIDIR
Donde se conclui	ONDE CONCLUIR
Ou 1) a matéria é infinitamente multiplicável, mas não infinitamente divisível;	OU INFINITO MATÉRIA 1 MULTIPLICÁVEL MAS INFINITO DIVISÍVEL (NÃO)
