Só bebi três latas de cerveja.	SÓ LATA 3 CERVEJA EU BEBER
Geraldo Alckmin participa de sabatina no GLOBO nesta quinta-feira.	GERALDO ALCKMIN SABATINA GLOBO QUINTA FEIRA PARTICIPAR
Preparar o professor é multiplicar o futuro	PROFESSOR PREPARAR FUTURO MULTIPLICAR
Candidatos a presidente refazem estratégias de campanha após empate técnico.	CANDIDATO PRESIDENTE APÓS EMPATE TÉCNICO ESTRATÉGIAS CAMPANHA REFAZER
Filme mostra a emoção do povo na rua no enterro de Tancredo	FILME EMOÇÃO RUA POVO ENTERRO TANCREDO MOSTRAR
Estamos preparados para um novo Acordo de Oslo?	{NOVO PREPARADO ACORDO OSLO}(q)
Aos 60 anos, Conjunto Nacional faz uma volta às origens	CONJUNTO NACIONAL ANO 60 VOLTA ORIGEM FAZER
Apenas 16% das empresas preveem aumentar quadro de funcionários no 4º trimestre	APENAS 16% EMPRESA QUADRO FUNCIONÁRIO TRIMESTRE 4 AUMENTAR PREVER
Somos o país do Bendegó	NÓS PAÍS BENDEGÓ
Homem armado deixa 5 mortos em ataques a tiros na Califórnia	HOMEM ARMADO 5 MORTO ATAQUE TIRO CALIFÓRNIA DEIXAR
Tragédia americana: opioides matam mais do que os massacres	AMERICANO TRAGÉDIA OPIOIDES MAIS QUE MASSACRES MATAR
G1 e CBN entrevistam Marina Silva	G1 CBN MARINA SILVA ENTREVISTAR
Bom dia	BOM DIA
Folha e Spotify lançam Eleição na Chapa	FOLHA SPOTIFY ELEIÇÃO CHAPA LANÇAR
Por fim, a Subsecretaria Regional da Presidência, que albergará os Assuntos Parlamentares e as Relações Externas, ficará a cargo de Pedro Faria e Castro.	FIM SUBSECRETARIA REGIONAL DA PRESIDÊNCIA ASSUNTOS PARLAMENTARES RELAÇÕES EXTERNAS ALBERGAR PEDRO FARIA CARGO FICAR
O PS venceu as eleições legislativas regionais, no dia 25 de outubro, mas perdeu a maioria absoluta, que detinha há 20 anos, elegendo 25 deputados.	LEGISLATIVO REGIONAL ELEIÇÃO PS DIA 25 OUTUBRO VENCER MAS MAIORIA PERDER HAVER 20 ANO DETER 25 DEPUTADO ELEGER
PSD, CDS-PP e PPM, que juntos representam 26 deputados, assinaram um acordo de governação	PSD CDS PP PPM DEPUTADO JUNTO 26 REPRESENTAR GOVERNAÇÃO ACORDO ASSINAR
Com o apoio dos dois deputados do Chega e do deputado único do IL, a coligação de direita soma 29 deputados na Assembleia Legislativa dos Açores, um número suficiente para atingir a maioria absoluta, o que levou Pedro Catarino a indigitar o líder regional social-democrata, José Manuel Bolieiro, como presidente do Governo Regional, no dia 07 de novembro.	2 APOIO DEPUTADO CHEGA DEPUTADO IL COLIGAÇÃO DIREITA 29 DEPUTADO ASSEMBLEIA LEGISLATICA AÇORES SOMAR NÚMERO SUFICIENTE MAIORIA ATINGIR PEDRO CATARINO LIDER REGIONAL SOCIAL DEMOCRATA INDIGITAR JOSÉ MANUEL BOLIEIRO COMO GOVERNO REGIONAL PRESIDENTE 7 NOVEMBRO
O PSI-20 sobe 1,30% para 4.424,15 pontos, valorizando mais do que as principais praças europeias, com os CTT a dispararem +4,27% para 2,44 euros	PSI 20 1,30% 4.424,15 PONTO SUBIR PRINCIPAAL PRAÇA EUROPEIA MAIS VALORIZAR CTT +4,27% 2,44 EURO DISPARAR
O segundo título que mais subiu foi a Altri que valorizou +3,63% para 4,11 euros	SEGUNDO TÍTULO ALTRI MAIS SUBIR +3,63% 4,11 EURO VALORIZAR
A Ibersol foi a única ação que não subiu no PSI-20, tendo-se mantido estável	AÇÃO IBERSOL PSI-20 SUBIR (NÃO) MANTER ESTÁVEL
O analista do Millennium BCP realçou que as Bolsas europeias encerraram a semana em alta com o PSI20 a liderar os ganhos europeus, impulsionado pela valorização dos CTT e da Altri	ANALISTA MILLENNIUM BCP BOLSA EUROPEIA SEMANA ALTA PSI 20 GANHO EUROPEU LIDERAR ENCERRAR REALÇAR VALORIZAÇÃO CTT ALTRI IMPULSIONAR
(VER) Na hora de fecho europeu o mercado norte-americano segue sem sentimento definido sendo que, uma vez mais, as fabricantes de veículos elétricos mostram-se em valorização expressiva (XPeng +9,75%, Nio +2,4% e Li Auto +4,5%), relata a análise de mercados do Millennium BCP.	UMA VEZ MAIS HORA MERCADO FABRICANTE XPENG FECHO VALORIZAÇÃO EXPRESSIVO NIO SEGUIR SENTIMENTO EXPRESSIVO EXPRESSIVO EXPRESSIVO +9,75 DEFINIR LI AUTO ANÁLISE +4,5 MERCADO MILLENNIUM BCP RELATAR
As bolsas europeias ganharam fulgor, numa altura em que parecem persistir as divergências entre os líderes da União Europeia sobre um novo pacote de estímulo económico, diz ainda o analista.	BOLSA EUROPEIA FULGOR GANHAR ALTURA DIVERGÊNCIA LIDER UNIAO EUROPEIA NOVO PACOTE ESTIMULO ECONÓMICO PERSISTIR ANALISTA DIZER
O EuroStoxx 50 subiu 0,45% para 3.467,6 pontos	EUROSTOXX 50 0,45% 3.467,6 PONTO SUBIR
O FTSE 100 subiu 0,27% para 6.351,5 pontos.	FTSE 100 0,27% 6.351,5 PONTO SUBIR
Nos EUA continuam as imposições de restrições para travar a pandemia, com o governador da Califórnia a impor um recolher obrigatório à maioria dos residentes	EUA IMPOSIÇÃO RESTRIÇÃO PANDEMIA TRAVAR CONTINUAR GOVERNADOR CALIFÓRNIA RECOLHER OBRIGATÓRIO MAIORIA RESIDENTES IMPOR
O secretário do Tesouro dos EUA, Steven Mnuchin, defendeu o redireccionamento dos estímulos económicos.	SECRETÁRIO TESOURO EUA STEVEN MNUCHIN REDIRECCIONAMENTO ESTIMULO ECONÓMICO DEFENDER
O Brent subiu 0,57% para 44,45 dólares.	BRENT 0,57% 44,45 DÓLAR SUBIR
O euro perde 0,20% para 1,1851 dólares.	EURO 0,20% 1,1851 DÓLAR PERDER
Nas obrigações soberanas, a dívida alemã cai 1,23 pontos base para -0,58%.	OBRIGAÇÃO SOBERANA DIVIDA MULHER ALEMÃO 1,23 PONTO BASE -0,58% CAIR 
Os deputados aprovaram ainda (apenas com a abstenção do PSD) o aumento extraordinários das pensões mais baixas em 10 euros, em janeiro, uma medida com a qual o Governo já se tinha comprometido.	AINDA APENAS GOVERNO DEPUTADO ABSTENÇÃO PSD AUMENTO EURO MULHER PENSÃO MAIS JÁ JANEIRO MEDIDA APROVAR COMPROMETER
Na proposta de Orçamento do Estado, o Governo tinha escrito que o aumento extra aconteceria em agosto e seria de 10 euros para as pensões até 1,5 IAS.	GOVERNO AUMENTO PROPOSTA ORÇAMENTO DO ESTADO ACONTECER AGOSTO 10 EURO 1,5 PENSÃO
Mas entretanto, após negociações com o PCP, comprometeu-se em avançar com atualização extra de 10 euros para todas as pensões até 658 euros.	MAS ENTRETANTO PCP NEGOCIAÇÃO AVANÇAR ATUALIZAÇÃO EXTRA 10 EURO PENSÃO 658 EURO COMPROMETER
Estou num dia em que me pesa, como uma entrada no cárcere, a monotonia de tudo.	ENTRADA CÁRCERE MONOTONIA TUDO DIA PESAR
A monotonia de tudo não é, porém, senão a monotonia de mim.	MONOTONIA TUDO PORÉM (NÃO) SENÃO MONOTONIA MEU
Cada rosto, ainda que seja o de quem vimos ontem, é outro hoje, pois que hoje não é ontem.	CADA ROSTO AINDA QUE QUEM ONTEM VER HOJE OUTRO SER POIS HOJE ONTEM SER (NÃO)
Cada dia é o dia que é, e nunca houve outro igual no mundo.	DIA CADA DIA OUTRO IGUAL MUNDO HAVER NUNCA NÃO
Só em nossa alma está a identidade - a identidade sentida, embora falsa, consigo mesma - pela qual tudo se assemelha e se simplifica.	SÓ NÓS IDENTIDADE ALMA ESTAR - EMBORA FALSO SENTIR IDENTIDADE CONSIGO - TUDO ASSEMELHAR SIMPLIFICAR
O mundo é coisas destacadas e arestas diferentes; mas, se somos míopes, é uma névoa insuficiente e contínua.	MUNDO COISA DESTACAR ARESTAS DIFERENTES; MAS SE MÍOPES NÉVOA INSUFICIENTE CONTÍNUO
O meu desejo é fugir.	DESEJO MEU FUGIR
Fugir ao que conheço, fugir ao que é meu, fugir ao que amo.	EU CONHEÇO FUGIR MEU FUGIR EU AMAR FUGIR
Desejo partir - não para as índias impossíveis, ou para as grandes ilhas ao Sul de tudo, mas para o lugar qualquer - aldeia ou ermo - que tenha em si o não ser este lugar.	PARTIR EU DESEJAR - NÃO IMPOSSÍVEIS MULHER ÍNDIO OU GRANDE ILHAS SUL TUDO MAS QUALQUER LUGAR - ALDEIA OU ERMO - SI ESTE LUGAR TER SER (NÃO)
Quero não ver mais estes rostos, estes hábitos e estes dias.	ESTE ROSTO HÁBITO DIA MAIS EU QUERER VER (NÃO)
Quero repousar, alheio, do meu fingimento orgânico.	ALHEIO ORGÂNICO FINGIMENTO MEU REPOUSAR EU QUERER
Quero sentir o sono chegar como vida, e não como repouso.	SONO COMO VIDA CHEGAR SENTIR EU QUERER COMO REPOUSO (NÃO)
Uma cabana à beira-mar, uma caverna, até, no socalco rugoso de uma serra, me pode dar isto.	CABANA BEIRA MAR CAVERNA ATÉ RUGOSO SOCALCO SERRA DAR PODER
Infelizmente, só a minha vontade mo não pode dar.	INFELIZ SÓ MEU VONTADE O MEU DAR PODER (NÃO)
A escravatura é a lei da vida, e não há outra lei, porque esta tem de cumprir-se, sem revolta possível nem refúgio que achar.	ESCRAVATURA LEI VIDA OUTRO NÃO HAVER PORQUE ESTA TER CUMPRIR POSSÍVEL REVOLTA NEM REFÚGIO ACHAR (NÃO)
Uns nascem escravos, outros tornam-se escravos, e a outros a escravidão é dada.	UNS ESCRAVO NASCER OUTROS ESCRAVOS TORNAR OUTRO ESCRAVIDÃO DAR
O amor cobarde que todos temos à liberdade - que, se a tivéssemos, estranharíamos, por nova, repudiando-a - é o verdadeiro sinal do peso da nossa escravidão.	NÓS AMOR COBARDE LIBERDADE TER - SE TER NOVA ESTRANHAR REPUDIAR - VERDADEIRO SINAL PESO ESCRAVIDÃO
Eu mesmo, que acabo de dizer que desejaria a cabana ou caverna onde estivesse livre da monotonia de tudo, que é a de mim, ousaria eu partir para essa cabana ou caverna, sabendo, por conhecimento, que, pois que a monotonia é de mim, a haveria sempre de ter comigo?	{MESMO EU ACABAR EU DESEJAR CABANA DIZER OU CAVERNA ESSE MONOTONIA TUDO EU ONDE LIVRE CABANA OU SEMPRE CAVERNA POIS QUE MONOTONIA CONHECIMENTO EU TER COMIGO SABER HAVER}(q)
Eu mesmo, que sufoco onde estou e porque estou, onde respiraria melhor se a doença é dos meus pulmões e não das coisas que me cercam?	{EU MESMO ONDE SUFOCAR PORQUE MELHOR SE DOENÇA MEU RESPIRAR PULMÕES COISA EU CERCAR}(q)
Eu mesmo, que anseio alto pelo sol puro e os campos livres, pelo mar visível e o horizonte inteiro, quem me diz que não estranharia a cama, ou a comida, ou não ter que descer os oito lanços de escada até à rua, ou não entrar na tabacaria da esquina, ou não trocar os bons-dias com o barbeiro ocioso?	{MESMO EU ALTO PURO CAMPOS LIVRES MAR VISÍVEL QUE HORIZONTE INTEIRO QUEM EU CAMA DIZER ESTRANHAR NÃO OU COMIDA OU ATÉ QUE ESCADA 8 LANÇO RUA DESCER OU TABACARIA ESQUINA ENTRAR NÃO OU OCIOSO BONS-DIAS BARBEIRO TROCAR NÃO}(q)
